Message ID (Hex),Message Name,Sender,Receivers,DLC,Cycle (ms),Signal Name,Byte,Bit,Size,Type,Scale,Range,Unit,Description
0x111,HMI_MODE_REQ_high,HMI,"SYS, Host",2,1000,req_mode,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=MANUAL, 1=AUTO)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x111,HMI_MODE_REQ_low,HMI,"SYS, Host",2,1000,req_mode,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=MANUAL, 1=AUTO)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x112,HMI_PWR_REQ_high,HMI,SYS,2,1000,req_start,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=OFF, 1=ON)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
0x112,HMI_PWR_REQ_low,HMI,SYS,2,1000,req_start,0,0,8,unsigned,1,"[0, 1]",," (Values: 0=OFF, 1=ON)"
,,,,,,rolling_counter,1,0,8,unsigned,1,"[0, 255]",,
